Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Predicted
50,1,2,7,2,1,2,2,5,7,3,18740,16701,1,12,3,29,27,3,13,8,No,No
59,1,1,25,3,2,2,3,3,1,1,7637,2354,2,11,3,28,21,16,7,9,No,No
36,1,2,8,3,5,2,3,3,4,3,10096,8202,2,13,3,17,17,14,12,8,No,No
55,1,2,8,3,1,2,3,4,5,3,14756,19730,1,14,3,21,5,0,0,2,No,No
36,2,2,11,3,2,1,2,2,8,2,6499,22656,2,13,3,6,6,5,0,3,No,No
45,1,2,7,3,2,1,3,3,2,1,9724,18787,2,17,3,25,1,0,0,0,No,No
35,2,2,1,3,1,1,3,1,2,1,2194,5868,2,13,3,5,3,2,1,2,No,No
36,1,2,9,3,1,1,2,1,2,3,3388,21777,1,17,3,2,1,0,0,0,Yes,No
59,2,1,1,1,2,2,2,2,1,3,5473,24668,2,11,3,20,4,3,1,3,No,No
29,1,2,2,3,2,1,3,1,2,2,2703,4956,2,23,4,6,5,4,0,4,No,No
31,1,2,1,4,1,1,3,1,2,2,2501,18775,2,17,3,1,1,1,1,0,No,No
32,1,2,1,3,2,1,3,2,2,2,6220,7346,2,17,3,10,10,4,0,9,No,No
36,1,2,6,3,2,2,4,1,3,4,3038,22002,2,12,3,5,1,0,0,0,No,No
31,1,2,8,4,2,2,3,2,8,4,4424,20682,2,23,4,11,11,7,1,8,No,No
35,1,1,1,4,4,1,2,2,1,1,4312,23016,2,14,3,16,15,13,2,8,No,No
45,1,2,6,4,3,1,3,3,7,1,13245,15067,1,14,3,17,0,0,0,0,No,No
37,1,2,7,4,1,1,3,3,7,3,13664,25258,2,13,3,16,5,2,0,2,No,No
46,1,3,5,2,1,1,3,2,9,2,5021,10425,1,22,4,16,4,2,0,2,No,No
30,1,2,1,1,2,1,2,2,3,4,5126,15998,1,12,3,10,10,8,3,0,No,No
35,1,2,1,3,1,1,2,1,2,3,2859,26278,2,18,3,6,6,4,0,4,No,No
55,1,1,1,2,2,1,3,3,1,4,10239,18092,2,14,3,24,1,0,1,0,No,No
38,3,2,6,3,1,2,1,2,2,4,5329,15717,1,12,3,17,13,11,1,9,No,No
34,1,2,1,2,1,1,3,2,8,2,4325,17736,2,15,3,5,5,2,1,3,No,No
56,1,2,7,3,2,1,1,3,8,4,7260,21698,2,11,3,37,6,4,0,2,No,No
23,1,1,2,1,5,1,3,1,6,1,2322,9518,2,13,3,3,0,0,0,0,No,No
51,1,2,9,4,2,1,3,1,3,4,2075,18725,2,23,4,10,4,2,0,3,No,No
30,1,2,2,3,2,1,2,2,4,4,4152,15830,2,19,3,11,11,10,10,8,No,No
46,1,1,9,2,1,1,2,3,1,4,9619,13596,2,16,3,9,9,8,4,7,Yes,No
40,2,2,1,4,2,1,2,4,4,2,13503,14115,2,22,4,22,22,3,11,11,No,No
51,1,1,21,4,4,1,3,2,1,4,5441,8423,1,22,4,11,10,7,1,0,No,No
30,1,1,4,2,1,2,2,2,1,2,5209,19760,1,12,3,11,11,8,2,7,No,No
46,2,2,1,3,1,1,2,3,4,1,10673,3142,1,13,3,21,10,9,9,5,No,No
32,1,1,6,4,1,1,3,2,1,3,5010,24301,2,16,3,12,11,8,5,7,No,No
54,1,2,2,4,5,2,3,3,7,3,13549,24001,2,12,3,16,4,3,0,3,No,No
24,1,1,3,2,3,2,3,2,1,3,4999,17519,2,21,4,4,3,2,0,2,No,No
28,3,1,4,3,1,1,3,2,1,3,4221,8863,2,15,3,5,5,4,0,4,No,No
58,1,1,10,4,1,1,3,4,1,3,13872,24409,2,13,3,38,37,10,1,8,No,No
44,3,2,23,3,1,1,3,2,3,2,2042,25043,2,12,3,17,3,2,1,2,No,No
